,Most Current Population Year,Population
New York,2022,"19,994,379"
Albany County,2022,"315,041"
Allegany County,2022,"47,222"
Bronx County,2022,"1,443,229"
Broome County,2022,"198,365"
Cattaraugus County,2022,"77,000"
Cayuga County,2022,"76,171"
Chautauqua County,2022,"127,440"
Chemung County,2022,"83,584"
Chenango County,2022,"47,096"
Clinton County,2022,"79,839"
Columbia County,2022,"61,469"
Cortland County,2022,"46,755"
Delaware County,2022,"44,637"
Dutchess County,2022,"296,467"
Erie County,2022,"951,232"
Essex County,2022,"37,314"
Franklin County,2022,"47,459"
Fulton County,2022,"53,280"
Genesee County,2022,"58,204"
Greene County,2022,"48,067"
Hamilton County,2022,"5,090"
Herkimer County,2022,"60,293"
Jefferson County,2022,"117,445"
Kings County,2022,"2,679,620"
Lewis County,2022,"26,690"
Livingston County,2022,"61,980"
Madison County,2022,"68,020"
Monroe County,2022,"756,406"
Montgomery County,2022,"49,624"
Nassau County,2022,"1,389,160"
New York County,2022,"1,645,867"
Niagara County,2022,"212,230"
Oneida County,2022,"231,055"
Onondaga County,2022,"472,637"
Ontario County,2022,"112,288"
Orange County,2022,"401,237"
Orleans County,2022,"40,148"
Oswego County,2022,"118,037"
Otsego County,2022,"59,678"
Putnam County,2022,"97,942"
Queens County,2022,"2,360,826"
Rensselaer County,2022,"160,943"
Richmond County,2022,"492,925"
Rockland County,2022,"337,326"
Saratoga County,2022,"236,328"
Schenectady County,2022,"159,447"
Schoharie County,2022,"29,970"
Schuyler County,2022,"17,855"
Seneca County,2022,"33,651"
St. Lawrence County,2022,"108,670"
Steuben County,2022,"93,584"
Suffolk County,2022,"1,524,486"
Sullivan County,2022,"78,725"
Tioga County,2022,"48,344"
Tompkins County,2022,"102,555"
Ulster County,2022,"182,153"
Warren County,2022,"65,684"
Washington County,2022,"61,310"
Wayne County,2022,"91,324"
Westchester County,2022,"997,904"
Wyoming County,2022,"40,338"
Yates County,2022,"24,713"
